id;code;attempt_question_count;event_type;event_id;user_info;created_at;updated_at
1;deposit;5057;Unbranded user-centric;Buckinghamshire firmware;Function-based Trace killer;2022-06-30;2022-07-01
2;Cambridgeshire Specialist New;70033;bandwidth front-end;monitor envisioneer;Georgia Investment Borders;2022-07-01;2022-06-30
3;Maldives;82468;bypassing;Islands Rupiah;Concrete;2022-06-30;2022-06-30
4;well-modulated;62309;mobile;Vietnam Bangladesh;Ergonomic plug-and-play;2022-07-01;2022-06-30
5;AGP purple Intelligent;92232;clicks-and-mortar platforms;Cedi Fish deliver;virtual;2022-06-30;2022-07-01
6;optical Shoes;77837;Lead;Optimization neural cultivate;Buckinghamshire markets Table;2022-07-01;2022-07-01
7;sexy bandwidth;32638;Lead end-to-end Executive;Berkshire Fantastic innovate;Riel Chips core;2022-07-01;2022-06-30
8;wireless;33345;Nepalese;SCSI;Architect Integration bypassing;2022-06-30;2022-07-01
9;mobile De-engineered Account;28255;Gloves;Soap Communications parse;back-end Light Baby;2022-06-30;2022-07-01
10;Western copying;45058;Handcrafted Small;Cheese calculate;best-of-breed;2022-06-30;2022-07-01
