id;campaign_link_id;answers;created_at;updated_at
1;86313;implementation;2022-07-01;2022-07-01
2;84996;withdrawal bluetooth;2022-07-01;2022-07-01
3;34970;Rubber New Data;2022-07-01;2022-07-01
4;11249;Account lime payment;2022-07-01;2022-07-01
5;60905;Quetzal next-generation Tasty;2022-06-30;2022-07-01
6;32220;payment sticky;2022-07-01;2022-06-30
7;66559;turn-key;2022-07-01;2022-07-01
8;12398;concept connect;2022-07-01;2022-06-30
9;198;clear-thinking invoice;2022-07-01;2022-06-30
10;72550;adapter Analyst Multi-lateral;2022-07-01;2022-07-01
